batch_size,pytorch_time_ms,cuda_time_ms,speedup,memory_allocated_mb,memory_reserved_mb
32,21.2897661447525,2.189030313491821,9.72566072453891,0.001953125,2.0
64,0.8510783910751343,1.1459776163101196,0.7426658068728098,0.0029296875,2.0
128,0.9791871905326843,0.3751744031906128,2.6099520175292823,0.005859375,2.0
256,1.9056064009666442,0.9481664061546325,2.0097805496980103,0.01171875,2.0
512,2.2223488330841064,0.5379455983638763,4.131177650385511,0.0234375,2.0
1024,0.997055983543396,0.3527168035507202,2.8267890089336802,0.046875,2.0
2048,2.312928009033203,0.5082431972026825,4.550829252144086,0.09375,2.0
4096,0.8723456025123596,0.3858303964138031,2.260956136739338,0.1875,2.0
8192,0.7627008080482482,1.0284543991088868,0.7415990526260542,0.375,2.0
16384,2.4069567680358888,0.45459199547767637,5.294762758650657,0.75,2.0
32768,0.835865604877472,0.4492735922336578,1.8604823860707924,1.5,22.0
65536,0.8444160103797913,0.33688960075378416,2.506506607774257,3.0,22.0
131072,0.9647552132606506,0.8984831809997559,1.0737599029813256,6.0,24.0
262144,1.1052608013153076,0.3507968008518219,3.150715167958942,12.0,36.0
