batch_size,pytorch_time_ms,cuda_time_ms,speedup,memory_allocated_mb,memory_reserved_mb
32,20.629114258289338,2.1161217033863067,9.748548122387179,0.001953125,2.0
64,1.6058560013771057,0.45022720098495483,3.5667680625781832,0.0029296875,2.0
128,0.8483392119407653,0.45217919945716856,1.876112861801645,0.005859375,2.0
256,1.1959935784339906,0.35867519974708556,3.3344752558228934,0.01171875,2.0
512,1.4800384044647217,0.3918592035770416,3.776964764268292,0.0234375,2.0
1024,0.8208447933197022,0.33719679713249207,2.4343196622866325,0.046875,2.0
2048,1.5308031916618348,0.41931520104408265,3.6507219100337394,0.09375,2.0
4096,1.0087039828300477,0.35603840053081515,2.8331325534722605,0.1875,2.0
8192,0.9109440088272095,1.0604607820510865,0.8590077297015268,0.375,2.0
16384,1.3373055934906006,0.34565759897232057,3.8688736989048196,0.75,2.0
32768,1.4288064122200013,0.42028799653053284,3.3995889104965245,1.5,22.0
65536,0.9458304047584534,0.38813439607620237,2.4368631441073276,3.0,22.0
131072,0.9332736134529114,0.38791680335998535,2.405860239539139,6.0,24.0
262144,1.0806463956832886,0.35966079831123354,3.0046265835959916,12.0,36.0
